degree,frequency
69,1
101,3
333,1
234,2
88,1
115,1
276,1
5,674
120,1
655,1
10,211
56,4
174,1
185,1
42,10
24,31
301,1
37,18
25,43
389,1
52,9
14,134
184,1
110,2
559,1
20,56
46,14
93,1
416,1
57,4
316,1
78,3
29,31
164,2
106,1
121,2
84,5
397,2
61,8
132,1
89,2
243,1
1,1980
74,3
233,1
452,1
6,489
248,2
60,1
85,3
102,2
334,1
28,29
38,11
160,2
70,2
424,1
21,54
137,2
33,21
92,2
65,5
156,2
9,279
188,1
53,8
109,1
124,1
77,5
212,1
96,4
13,143
129,3
41,12
134,2
73,4
128,1
2,1687
558,1
166,1
32,28
34,23
148,1
45,9
64,7
296,1
17,100
22,48
44,7
59,6
118,3
27,42
71,3
12,170
445,1
54,9
49,8
335,1
236,1
181,1
350,1
86,6
159,1
274,1
81,2
362,1
76,3
7,427
39,25
98,1
208,1
103,1
91,5
66,6
198,1
108,2
278,2
226,1
3,1184
80,3
35,19
374,1
112,1
123,2
48,13
63,3
18,76
150,1
327,1
50,14
67,4
331,1
16,107
31,33
154,1
11,194
72,1
43,17
99,2
87,2
218,1
40,13
26,42
158,2
55,7
114,1
23,50
8,346
75,4
119,1
58,8
272,1
82,5
151,1
36,16
30,29
51,5
19,66
107,1
4,865
136,1
79,1
195,1
131,1
47,7
15,123
68,3
62,2
178,2
442,1
90,2
111,1
122,1
83,2
309,1
215,2
364,1
232,1
100,2
