numberOfVisits,numberOfVertices
69,268
1036,1
1501,1
809,2
1879,1
1024,1
365,8
138,59
1823,1
1190,1
2295,1
2341,1
101,109
1454,1
347,11
1729,1
846,2
909,1
333,9
1031,2
249,16
3397,1
893,1
518,1
1083,1
962,1
468,2
6172,1
234,15
941,1
1179,2
555,1
4728,1
1818,1
1950,1
88,160
1554,1
1110,1
481,1
352,10
1855,1
2077,1
408,7
977,1
170,46
523,3
582,2
762,4
3072,1
1005,2
115,87
1290,1
1882,1
217,19
276,9
2495,1
2381,1
2908,1
1808,1
1401,1
308,12
741,1
1073,1
5,103318
3108,1
873,1
449,3
120,74
247,13
2837,1
1142,1
379,5
1269,1
878,2
440,3
655,2
511,4
4215,1
1971,1
614,2
269,16
677,3
202,9
1041,1
1173,1
1497,1
10,28044
385,5
384,7
56,509
1137,2
533,1
550,1
142,64
500,2
797,1
715,1
1275,1
472,4
814,1
21383,1
2627,1
698,1
3121,1
747,1
913,1
945,2
340,5
2042,1
538,5
153,44
2146,1
1222,1
670,1
174,33
1095,2
185,28
5227,1
1243,1
1782,1
42,984
4079,1
709,1
417,4
24,3901
885,1
288,9
1613,1
3308,1
1921,1
1359,1
1386,1
301,9
4030,1
320,9
565,3
436,6
1803,2
2136,1
37,1358
1265,1
25,3625
1887,1
651,1
257,14
389,4
52,609
724,3
1287,1
14,13527
570,1
184,22
8996,1
3046,1
3342,1
372,6
504,4
110,98
4654,1
1330,1
587,1
619,1
838,3
125,75
344,4
10606,1
934,2
357,7
196,28
1059,1
1132,1
2356,1
542,2
460,4
157,47
817,2
902,1
559,2
638,4
1514,1
189,22
20,6313
421,4
46,841
969,1
93,141
606,1
3919,1
284,14
770,2
416,7
325,10
152,59
3734,1
228,20
289,9
448,4
57,469
316,6
78,242
1875,1
1100,1
261,12
29,2462
2222,1
216,22
4411,1
5433,1
475,2
924,1
492,2
164,47
1302,1
756,1
1714,1
789,2
5084,1
1811,1
7290,1
179,37
591,2
1373,1
443,3
1040,1
1109,1
321,8
376,6
2259,1
2650,1
623,3
211,16
646,2
253,11
485,2
834,1
2122,1
106,94
238,10
121,80
514,3
937,1
1383,1
1020,1
348,9
574,1
1677,1
806,1
84,154
353,7
966,1
821,1
905,1
480,2
981,1
147,52
2058,1
397,2
687,1
280,11
61,390
634,2
692,1
734,3
221,19
293,12
4504,1
1072,1
453,3
132,64
774,2
396,6
89,165
133,60
660,1
4825,2
998,2
3243,1
411,2
116,79
243,16
428,5
1,106933
1600,1
4707,1
265,15
849,1
1521,1
507,3
527,1
312,9
74,251
1696,1
206,17
307,12
1074,1
2922,1
292,12
1206,2
233,15
452,1
6,76629
248,20
60,427
380,4
117,96
