degree,frequency
69,6
138,2
101,3
88,2
352,1
5,680
202,1
10,267
56,7
153,1
42,18
24,41
37,19
25,29
52,10
14,163
184,1
372,1
125,2
157,1
189,1
20,53
46,6
93,2
228,1
448,1
57,5
78,2
29,30
164,1
106,1
280,2
61,5
132,1
89,2
133,1
116,1
243,1
1,1893
74,2
6,525
60,2
117,1
529,1
85,3
381,1
102,2
334,1
260,1
28,32
38,23
160,1
70,3
192,1
275,1
21,56
137,1
165,1
33,27
92,2
229,1
361,1
65,3
97,1
324,1
9,257
53,10
141,2
109,1
124,1
96,2
13,158
41,17
134,1
2,1698
633,1
32,19
34,23
264,2
45,8
161,1
64,5
17,80
191,2
22,55
44,14
59,5
204,1
27,31
413,1
71,1
12,153
54,8
144,2
49,9
335,1
350,1
86,3
113,1
81,2
76,6
7,424
39,9
98,1
103,3
594,1
91,1
66,4
198,1
130,1
299,1
226,1
3,1260
267,1
80,3
35,19
374,2
209,1
48,10
63,5
18,82
150,1
95,2
50,13
67,3
177,2
16,74
31,32
11,187
72,7
143,2
43,10
99,1
556,1
87,3
218,1
104,1
40,16
304,1
26,30
55,7
114,2
401,1
171,1
23,55
8,312
75,4
119,1
58,2
82,1
151,2
36,21
146,1
30,25
51,8
19,64
273,1
210,1
107,1
239,1
4,862
126,2
268,1
79,6
94,2
283,1
332,1
427,1
131,4
47,15
15,121
68,5
62,6
178,1
90,3
111,1
227,1
122,2
83,5
364,1
100,3
